eval_id,id_contrato,anotador_1,criterio_anotador_1,frontera_anotador_1,anotador_2,criterio_anotador_2,frontera_anotador_2,acuerdo,expected_final,motivo_adjudicacion
m2_001,CO1.PCCNTR.7119112,SUFICIENTE,"Identifica la construcción de un acueducto veredal y precisa su ubicación en Cubugón, Cubará.",NO,SUFICIENTE,"El texto indica con claridad el objeto (construcción de un acueducto veredal) y la ubicación exacta (vereda Cubugón, municipio de Cubará, Boyacá).",NO,SI,SUFICIENTE,
m2_002,CO1.PCCNTR.1617721,REQUIERE_REVISION,Solo indica un perfil profesional; no especifica qué servicio o actividad deberá realizar.,SI,REQUIERE_REVISION,"Solo indica un perfil profesional (ingeniero ambiental y/o sanitario) sin describir ninguna actividad, función o alcance del contrato.",SI,SI,REQUIERE_REVISION,
m2_003,CO1.PCCNTR.2545995,REQUIERE_REVISION,"Menciona un contrato de arriendo y su número, pero no identifica el bien ni la finalidad del arrendamiento.",SI,REQUIERE_REVISION,"El texto solo indica que es un contrato de arrendamiento con un número identificador, pero no especifica qué bien se arrienda (inmueble, vehículo, equipo, etc.).",SI,SI,REQUIERE_REVISION,
m2_004,CO1.PCCNTR.4946739,REQUIERE_REVISION,Solo nombra el perfil de psicología; no describe las actividades ni el objeto del servicio.,SI,REQUIERE_REVISION,"Menciona únicamente una profesión (psicólogo/a) sin especificar actividades, funciones ni el contexto en que se prestará el servicio.",SI,SI,REQUIERE_REVISION,
m2_005,CO1.PCCNTR.2745548,SUFICIENTE,Especifica el suministro de overoles y cachuchas y señala como destinatarios a servidores públicos de la Regional Valle.,NO,SUFICIENTE,Especifica con precisión el bien a suministrar (overoles y cachuchas) y el destinatario (servidores públicos Regional Valle).,NO,SI,SUFICIENTE,
m2_006,CO1.PCCNTR.7961362,SUFICIENTE,"Define la reposición de un tramo de alcantarillado sanitario y ubica la intervención en El Tambor, Vijes.",NO,SUFICIENTE,Describe con claridad la obra a ejecutar (reposición de tramo de alcantarillado sanitario) y su ubicación exacta.,NO,SI,SUFICIENTE,
m2_007,CO1.PCCNTR.9303970,REQUIERE_REVISION,"Indica apoyo a la gestión en una secretaría, pero no concreta las tareas o el objeto específico del apoyo.",SI,REQUIERE_REVISION,"Usa la fórmula genérica 'apoyo a la gestión' sin detallar ninguna actividad concreta; solo se indica la dependencia (Secretaría de Seguridad y Justicia), no el tipo de tarea.",SI,SI,REQUIERE_REVISION,
m2_008,CO1.PCCNTR.4365589,SUFICIENTE,Describe apoyo administrativo y de oficina y precisa que se presta en la Dirección de Compras de Envigado.,SI,REQUIERE_REVISION,"Aunque nombra la dependencia (Dirección de Compras), la descripción del servicio ('apoyo administrativo combinado y de oficina') sigue siendo genérica y no detalla actividades concretas.",SI,NO,REQUIERE_REVISION,"La expresión 'apoyo administrativo combinado y de oficina' y la dependencia indican un ámbito general, pero no concretan las actividades contratadas."
m2_009,CO1.PCCNTR.5933089,SUFICIENTE,Identifica el alojamiento del sitio web institucional en un servidor dedicado y señala la entidad beneficiaria.,NO,SUFICIENTE,El objeto es claro y específico: servicio de alojamiento (hosting) en servidor dedicado para un sitio web institucional identificado.,NO,SI,SUFICIENTE,
m2_010,CO1.PCCNTR.6848191,SUFICIENTE,Detalla apoyo en trámites y procesos de liquidaciones y vigencias expiradas de contratos de la Secretaría General.,NO,SUFICIENTE,"Aunque comienza con la fórmula genérica 'apoyo a la gestión', el texto precisa el alcance: apoyo en trámites de liquidación y vigencias expiradas de contratos de una secretaría específica.",SI,SI,SUFICIENTE,
m2_011,CO1.PCCNTR.3440534,SUFICIENTE,"Define la prestación temporal de formación profesional integral, presencial o virtual, para aprendices.",NO,SUFICIENTE,"El texto es extenso y mezcla frases genéricas ('servicios profesionales de carácter temporal'), pero concreta el objeto: impartir formación profesional a aprendices, de forma presencial y/o virtual.",SI,SI,SUFICIENTE,
m2_012,CO1.PCCNTR.9460703,SUFICIENTE,Identifica servicios de tecnólogo en imágenes diagnósticas para realizar actividades asistenciales propias de ese campo.,SI,REQUIERE_REVISION,"Aunque menciona una profesión concreta (tecnólogo en imágenes diagnósticas), termina remitiendo circularmente a 'las actividades propias de su perfil', sin describir ninguna tarea específica.",SI,NO,REQUIERE_REVISION,"El perfil de tecnólogo en imágenes diagnósticas es identificable, pero la fórmula 'actividades propias de su perfil' no describe tareas contractuales concretas."
m2_013,CO1.PCCNTR.5253759,SUFICIENTE,"Expone estudios, diseños y construcción de obras de rehabilitación, reconstrucción, estabilización y complementarias por calamidad pública.",NO,SUFICIENTE,"Describe con detalle el objeto (estudios, diseños y construcción de obras de rehabilitación/reconstrucción) y el contexto (calamidad pública en Risaralda) con municipios específicos.",NO,SI,SUFICIENTE,
m2_014,CO1.PCCNTR.9793508,SUFICIENTE,"Identifica el arrendamiento de una vivienda y precisa su ubicación en la escuela de la vereda Rodamontal, Cogua.",NO,SUFICIENTE,"Especifica el tipo de bien (inmueble tipo vivienda) y su ubicación exacta, lo que permite comprender claramente el objeto del contrato.",NO,SI,SUFICIENTE,
m2_015,CO1.PCCNTR.5699907,SUFICIENTE,"Precisa una interventoría técnica, administrativa, ambiental y financiera para la construcción de pavimento rígido en Sabanagrande.",NO,SUFICIENTE,"Indica con claridad el tipo de servicio (interventoría técnica, administrativa, ambiental y financiera) y el proyecto vigilado (construcción de pavimento rígido) con su ubicación.",NO,SI,SUFICIENTE,
m2_016,CO1.PCCNTR.180707,SUFICIENTE,Define una interventoría sobre diseños arquitectónicos y técnicos del borde norte del proyecto Corredor Ambiental Río Fucha.,NO,SUFICIENTE,Precisa el tipo de servicio (interventoría) y su objeto específico (diseños arquitectónicos y técnicos de un tramo de un proyecto identificado).,NO,SI,SUFICIENTE,
m2_017,CO1.PCCNTR.87105,SUFICIENTE,"Especifica una evaluación institucional y de resultados, con enfoque participativo, de la Política de Equidad de Género para las Mujeres.",NO,SUFICIENTE,"Describe con precisión la actividad (evaluación institucional y de resultados) y su objeto (Política de Equidad de Género para las Mujeres), citando el documento de referencia.",NO,SI,SUFICIENTE,
m2_018,CO1.PCCNTR.5895656,REQUIERE_REVISION,Remite a servicios y actividades enunciados en otras partes del contrato sin explicar en este texto qué se realizará.,SI,REQUIERE_REVISION,"Es un texto extenso pero enteramente genérico: describe obligaciones contractuales estándar (autonomía técnica, honorarios) y remite a 'las actividades enunciadas a lo largo del presente contrato' sin indicar cuáles son.",SI,SI,REQUIERE_REVISION,
m2_019,CO1.PCCNTR.9612944,SUFICIENTE,Identifica un encargo fiduciario para administrar y pagar recursos de un convenio específico entre entidades públicas.,NO,SUFICIENTE,"El objeto es claro: administración fiduciaria de recursos de un convenio identificado por número, entre entidades específicas.",NO,SI,SUFICIENTE,
m2_020,CO1.PCCNTR.3593461,SUFICIENTE,"Define la contratación de seguros para amparar intereses patrimoniales y bienes actuales, futuros o bajo custodia de la Agencia Atenea.",NO,SUFICIENTE,Especifica el tipo de contrato (seguros) y su alcance (cobertura de intereses patrimoniales y bienes de una entidad identificada).,NO,SI,SUFICIENTE,
